"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2010,119,94,25,0,0,0,0,91,56,30,0,0,0,114,5
"Aberdeen, WA","10140",2010,365,361,4,0,0,0,0,72,28,16,0,0,0,365,0
"Adrian, MI","10300",2010,216,148,67,1,0,0,0,103,67,44,0,0,128,88,0
"Akron, OH","10420",2010,365,123,224,18,0,0,0,140,89,58,1,0,77,287,0
"Albany, GA","10500",2010,357,189,165,2,1,0,0,156,70,48,0,0,0,354,3
"Albany, OR","10540",2010,365,266,99,0,0,0,0,87,61,26,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2010,365,264,92,9,0,0,0,147,68,42,0,0,265,100,0
"Albuquerque, NM","10740",2010,365,88,272,5,0,0,0,146,80,60,0,5,188,123,49
"Alexandria, LA","10780",2010,119,93,26,0,0,0,0,76,57,34,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2010,365,173,165,25,2,0,0,172,97,52,0,9,116,238,2
"Altoona, PA","11020",2010,365,292,64,9,0,0,0,147,71,33,0,0,211,49,105
"Amarillo, TX","11100",2010,365,331,34,0,0,0,0,84,50,40,0,0,316,49,0
"Americus, GA","11140",2010,234,189,43,2,0,0,0,108,64,42,0,0,234,0,0
"Ames, IA","11180",2010,214,200,14,0,0,0,0,90,49,36,0,0,214,0,0
"Anchorage, AK","11260",2010,365,287,73,5,0,0,0,127,60,32,15,0,109,177,64
"Ann Arbor, MI","11460",2010,362,290,71,1,0,0,0,119,64,38,0,0,316,46,0
"Appleton, WI","11540",2010,261,221,36,4,0,0,0,108,57,38,0,0,190,71,0
"Ardmore, OK","11620",2010,364,269,93,2,0,0,0,108,67,43,0,0,219,145,0
"Arkadelphia, AR","11660",2010,359,310,45,4,0,0,0,126,58,35,0,0,359,0,0
"Asheville, NC","11700",2010,364,204,150,10,0,0,0,122,77,48,0,0,160,204,0
"Ashtabula, OH","11780",2010,214,146,50,17,1,0,0,156,93,44,0,0,214,0,0
"Athens, OH","11900",2010,361,299,59,3,0,0,0,119,64,31,0,120,206,35,0
"Athens, TN","11940",2010,353,352,1,0,0,0,0,52,29,18,0,311,0,0,42
"Athens-Clarke County, GA","12020",2010,365,205,155,5,0,0,0,147,77,46,0,0,137,228,0
