"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2004,123,106,17,0,0,0,0,85,54,30,0,0,0,115,8
"Aberdeen, WA","10140",2004,366,320,46,0,0,0,0,85,52,28,0,0,0,363,3
"Adrian, MI","10300",2004,183,138,40,5,0,0,0,150,77,43,0,0,183,0,0
"Aguadilla-Isabela, PR","10380",2004,73,69,4,0,0,0,0,65,43,20,0,0,0,73,0
"Akron, OH","10420",2004,366,144,197,22,3,0,0,154,90,55,0,0,87,278,1
"Albany, GA","10500",2004,117,57,57,3,0,0,0,114,75,52,0,0,0,109,8
"Albany, OR","10540",2004,265,197,61,7,0,0,0,125,67,28,0,0,0,265,0
"Albany-Schenectady-Troy, NY","10580",2004,366,282,67,15,2,0,0,190,74,40,3,0,305,58,0
"Albuquerque, NM","10740",2004,366,116,227,22,1,0,0,158,90,63,0,12,186,40,128
"Alexandria, LA","10780",2004,359,283,68,8,0,0,0,133,71,38,0,0,306,53,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2004,366,151,185,24,6,0,0,200,97,53,0,21,100,226,19
"Altoona, PA","11020",2004,366,305,54,7,0,0,0,115,61,34,1,158,196,0,11
"Amarillo, TX","11100",2004,125,121,4,0,0,0,0,64,41,24,0,0,0,125,0
"Americus, GA","11140",2004,237,177,58,2,0,0,0,112,71,42,0,0,237,0,0
"Ames, IA","11180",2004,203,200,3,0,0,0,0,67,42,32,0,0,203,0,0
"Anchorage, AK","11260",2004,307,267,38,1,0,0,1,501,55,24,127,0,0,78,102
"Ann Arbor, MI","11460",2004,351,271,73,7,0,0,0,147,75,38,0,0,274,77,0
"Appleton, WI","11540",2004,247,189,53,5,0,0,0,112,68,39,0,0,173,74,0
"Ardmore, OK","11620",2004,281,206,67,8,0,0,0,133,71,42,0,0,218,63,0
"Arkadelphia, AR","11660",2004,348,310,36,1,1,0,0,154,54,33,0,0,348,0,0
"Asheville, NC","11700",2004,357,155,194,8,0,0,0,133,81,52,0,0,111,246,0
"Ashtabula, OH","11780",2004,213,162,35,14,2,0,0,156,93,42,0,0,213,0,0
"Athens, OH","11900",2004,67,38,28,1,0,0,0,124,75,43,0,0,0,66,1
"Athens, TN","11940",2004,355,286,69,0,0,0,0,94,59,25,0,240,0,109,6
"Athens-Clarke County, GA","12020",2004,326,162,148,14,2,0,0,174,85,51,0,0,144,182,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2004,366,72,242,42,9,1,0,207,112,65,0,16,123,226,1
"Atlantic City-Hammonton, NJ","12100",2004,344,279,60,5,0,0,0,133,64,36,0,0,274,69,1
"Augusta-Richmond County, GA-SC","12260",2004,366,129,213,21,3,0,0,159,93,58,0,0,120,246,0
"Augusta-Waterville, ME","12300",2004,209,189,16,4,0,0,0,147,50,30,0,0,180,0,29
"Austin-Round Rock, TX","12420",2004,366,294,59,11,2,0,0,166,77,35,0,14,351,0,1
"Bakersfield, CA","12540",2004,366,24,135,98,95,14,0,222,185,113,0,2,230,133,1
"Baltimore-Columbia-Towson, MD","12580",2004,366,104,213,42,6,1,0,202,108,62,0,9,99,257,1
"Bangor, ME","12620",2004,364,338,24,2,0,0,0,119,47,33,0,0,333,30,1
"Baraboo, WI","12660",2004,345,294,50,1,0,0,0,113,55,37,0,4,285,56,0
"Barnstable Town, MA","12700",2004,241,193,37,9,1,1,0,202,71,40,0,1,179,61,0
"Baton Rouge, LA","12940",2004,366,155,168,33,9,1,0,205,112,54,0,17,153,195,1
"Bay City, MI","13020",2004,120,85,35,0,0,0,0,97,73,31,0,0,0,120,0
"Beaumont-Port Arthur, TX","13140",2004,366,194,123,37,11,1,0,203,112,49,0,1,191,174,0
"Beaver Dam, WI","13180",2004,365,242,115,8,0,0,0,129,71,42,0,0,190,175,0
"Beckley, WV","13220",2004,118,65,53,0,0,0,0,94,72,46,0,0,0,118,0
"Bellingham, WA","13380",2004,363,343,20,0,0,0,0,97,42,27,0,0,137,225,1
"Bend-Redmond, OR","13460",2004,353,322,31,0,0,0,0,76,47,20,16,0,0,330,7
"Bennington, VT","13540",2004,360,317,37,5,1,0,0,164,53,33,0,0,312,48,0
"Berlin, NH-VT","13620",2004,246,154,81,8,3,0,0,159,80,46,0,0,163,83,0
"Billings, MT","13740",2004,327,311,15,0,0,1,0,202,35,15,211,0,0,108,8
"Birmingham-Hoover, AL","13820",2004,366,44,280,37,5,0,0,179,102,68,10,0,39,290,27
"Bishop, CA","13860",2004,366,168,138,35,2,3,20,5121,119,57,0,0,277,9,80
"Bismarck, ND","13900",2004,366,358,8,0,0,0,0,69,41,31,0,5,326,35,0
"Blackfoot, ID","13940",2004,53,50,3,0,0,0,0,62,41,19,0,0,0,0,53
"Blacksburg-Christiansburg-Radford, VA","13980",2004,359,296,55,8,0,0,0,108,67,40,0,0,359,0,0
"Bloomington, IL","14010",2004,361,306,55,0,0,0,0,97,60,36,0,0,327,34,0
"Bloomington, IN","14020",2004,183,122,56,5,0,0,0,119,84,46,0,0,183,0,0
