"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2022,350,332,18,0,0,0,0,93,41,20,0,0,0,151,199
"Aberdeen, WA","10140",2022,365,356,8,1,0,0,0,112,33,16,0,0,0,365,0
"Ada, OK","10220",2022,152,139,12,1,0,0,0,101,50,36,0,0,130,21,1
"Adrian, MI","10300",2022,365,289,76,0,0,0,0,97,60,39,0,0,209,156,0
"Akron, OH","10420",2022,362,279,79,3,1,0,0,159,61,41,0,0,205,157,0
"Albany, GA","10500",2022,358,253,100,4,1,0,0,151,60,38,0,0,0,358,0
"Albany, OR","10540",2022,365,296,67,2,0,0,0,127,61,25,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2022,365,322,43,0,0,0,0,87,52,37,0,0,264,101,0
"Albuquerque, NM","10740",2022,365,103,229,28,2,1,2,792,97,61,0,0,182,105,78
"Alexandria, LA","10780",2022,119,106,12,1,0,0,0,105,51,29,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2022,365,261,102,2,0,0,0,118,64,42,0,14,198,153,0
"Altoona, PA","11020",2022,363,296,67,0,0,0,0,97,54,39,0,0,173,190,0
"Amarillo, TX","11100",2022,365,265,95,5,0,0,0,122,77,44,0,0,319,46,0
"Americus, GA","11140",2022,238,224,14,0,0,0,0,93,47,35,0,0,238,0,0
"Anchorage, AK","11260",2022,365,304,60,1,0,0,0,125,61,23,1,0,0,198,166
"Ann Arbor, MI","11460",2022,365,276,88,1,0,0,0,101,64,41,0,0,233,132,0
"Appleton, WI","11540",2022,365,305,59,1,0,0,0,122,56,38,0,0,150,215,0
"Ardmore, OK","11620",2022,365,259,97,8,1,0,0,157,74,43,0,0,225,140,0
"Arkadelphia, AR","11660",2022,363,350,13,0,0,0,0,90,46,35,0,0,363,0,0
"Asheville, NC","11700",2022,365,313,51,1,0,0,0,108,54,42,0,0,230,135,0
"Ashtabula, OH","11780",2022,239,211,23,5,0,0,0,133,54,38,0,0,239,0,0
"Athens, OH","11900",2022,119,116,3,0,0,0,0,63,39,20,0,0,0,119,0
"Athens, TN","11940",2022,357,325,32,0,0,0,0,70,50,30,0,0,0,357,0
"Athens-Clarke County, GA","12020",2022,362,271,91,0,0,0,0,87,59,43,0,0,166,196,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2022,365,211,145,8,1,0,0,169,71,47,0,13,162,190,0
