"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",1995,6,6,0,0,0,0,0,26,26,17,0,0,0,0,6
"Adrian, MI","10300",1995,173,116,45,8,4,0,0,179,90,44,0,0,173,0,0
"Akron, OH","10420",1995,365,277,59,18,10,1,0,202,97,32,91,0,202,0,72
"Alamogordo, NM","10460",1995,6,6,0,0,0,0,0,20,20,13,0,0,0,0,6
"Albany-Schenectady-Troy, NY","10580",1995,365,304,38,20,3,0,0,169,80,36,4,106,250,0,5
"Albuquerque, NM","10740",1995,365,151,199,14,1,0,0,154,84,54,50,36,224,0,55
"Alexandria, LA","10780",1995,358,255,78,22,3,0,0,159,90,42,0,0,356,0,2
"Allentown-Bethlehem-Easton, PA-NJ","10900",1995,365,254,71,24,13,3,0,207,108,43,2,228,132,0,3
"Alpena, MI","10980",1995,50,47,3,0,0,0,0,63,46,22,0,0,0,0,50
"Altoona, PA","11020",1995,362,293,48,14,7,0,0,179,80,34,6,157,191,0,8
"Amarillo, TX","11100",1995,59,58,1,0,0,0,0,59,32,16,0,0,0,0,59
"Anchorage, AK","11260",1995,363,245,113,5,0,0,0,126,74,38,137,0,0,0,226
"Ann Arbor, MI","11460",1995,268,195,52,16,5,0,0,179,93,39,0,0,268,0,0
"Anniston-Oxford-Jacksonville, AL","11500",1995,59,56,3,0,0,0,0,57,37,19,0,0,0,0,59
"Appleton, WI","11540",1995,181,149,21,9,2,0,0,161,84,37,0,0,181,0,0
"Ardmore, OK","11620",1995,55,53,2,0,0,0,0,54,44,18,0,0,0,0,55
"Arkadelphia, AR","11660",1995,266,198,55,12,1,0,0,151,87,42,0,0,266,0,0
"Asheville, NC","11700",1995,365,234,97,30,4,0,0,195,97,40,0,0,202,17,146
"Ashtabula, OH","11780",1995,209,133,47,19,9,1,0,215,112,45,0,0,209,0,0
"Athens, OH","11900",1995,59,59,0,0,0,0,0,46,31,17,0,0,0,0,59
"Athens, TN","11940",1995,352,343,9,0,0,0,0,62,38,23,0,298,0,0,54
"Atlanta-Sandy Springs-Roswell, GA","12060",1995,365,184,96,39,32,14,0,229,161,50,36,83,241,0,5
"Atlantic City-Hammonton, NJ","12100",1995,365,258,70,28,8,1,0,204,101,39,49,0,271,37,8
"Auburn, IN","12140",1995,100,90,10,0,0,0,0,80,52,15,6,69,0,0,25
"Augusta-Richmond County, GA-SC","12260",1995,365,250,80,31,4,0,0,185,100,38,0,15,348,0,2
"Augusta-Waterville, ME","12300",1995,240,218,16,6,0,0,0,133,49,31,0,0,213,0,27
"Austin-Round Rock, TX","12420",1995,365,253,64,38,10,0,0,179,108,42,6,122,234,0,3
"Bakersfield, CA","12540",1995,365,109,100,51,71,34,0,230,197,86,1,57,279,0,28
"Baltimore-Columbia-Towson, MD","12580",1995,365,212,78,40,22,13,0,244,147,45,33,110,215,0,7
"Bangor, ME","12620",1995,330,292,28,8,2,0,0,179,54,34,0,0,280,0,50
"Baraboo, WI","12660",1995,234,192,34,5,3,0,0,185,80,34,0,0,234,0,0
"Barnstable Town, MA","12700",1995,213,157,32,16,5,3,0,221,108,41,0,0,213,0,0
"Barre, VT","12740",1995,58,58,0,0,0,0,0,43,27,16,0,0,0,0,58
"Baton Rouge, LA","12940",1995,365,218,78,39,25,5,0,216,140,45,2,90,266,0,7
"Battle Creek, MI","12980",1995,59,57,2,0,0,0,0,55,46,20,0,0,0,0,59
"Beatrice, NE","13100",1995,12,12,0,0,0,0,0,35,24,16,0,0,0,0,12
"Beaumont-Port Arthur, TX","13140",1995,365,252,48,35,27,3,0,213,140,40,1,41,321,0,2
"Beaver Dam, WI","13180",1995,181,145,26,9,1,0,0,156,80,39,0,0,181,0,0
"Beckley, WV","13220",1995,59,57,2,0,0,0,0,54,41,23,0,0,0,0,59
"Bellefontaine, OH","13340",1995,207,112,69,20,6,0,0,197,108,49,0,0,207,0,0
"Bellingham, WA","13380",1995,235,231,4,0,0,0,0,100,42,31,0,0,211,0,24
"Bend-Redmond, OR","13460",1995,214,187,27,0,0,0,0,77,53,30,93,0,0,0,121
"Bennington, VT","13540",1995,262,211,41,10,0,0,0,150,67,36,0,0,200,39,23
"Berlin, NH-VT","13620",1995,171,108,51,12,0,0,0,143,87,46,0,0,130,7,34
"Big Stone Gap, VA","13720",1995,61,60,1,0,0,0,0,52,35,19,0,0,0,0,61
"Billings, MT","13740",1995,365,349,16,0,0,0,0,77,40,23,351,0,0,0,14
"Binghamton, NY","13780",1995,57,57,0,0,0,0,0,45,28,18,0,0,0,0,57
"Birmingham-Hoover, AL","13820",1995,365,218,87,30,24,6,0,222,143,47,60,14,242,0,49
"Bishop, CA","13860",1995,365,274,64,8,4,3,12,3825,80,39,1,0,235,9,120
"Bismarck, ND","13900",1995,365,355,10,0,0,0,0,61,45,33,0,0,365,0,0
"Blacksburg-Christiansburg-Radford, VA","13980",1995,243,133,76,33,1,0,0,172,108,48,0,0,243,0,0
"Bluefield, WV-VA","14140",1995,60,60,0,0,0,0,0,44,37,19,0,0,0,0,60
"Boise City, ID","14260",1995,363,319,44,0,0,0,0,87,53,30,288,0,0,0,75
"Boone, NC","14380",1995,33,33,0,0,0,0,0,31,30,17,0,0,0,0,33
"Boston-Cambridge-Newton, MA-NH","14460",1995,365,229,103,21,11,1,0,212,97,46,7,254,100,0,4
"Boulder, CO","14500",1995,365,292,65,8,0,0,0,119,64,38,91,0,256,0,18
"Bowling Green, KY","14540",1995,360,225,110,19,6,0,0,187,93,43,0,0,312,45,3
"Bozeman, MT","14580",1995,122,105,17,0,0,0,0,97,53,24,0,0,0,0,122
"Branson, MO","14700",1995,365,365,0,0,0,0,0,23,13,11,365,0,0,0,0
"Breckenridge, CO","14720",1995,51,47,4,0,0,0,0,72,44,17,0,0,0,0,51
"Bremerton-Silverdale, WA","14740",1995,364,361,3,0,0,0,0,60,34,19,341,0,0,0,23
"Bridgeport-Stamford-Norwalk, CT","14860",1995,365,258,74,16,10,7,0,226,97,44,56,158,145,0,6
"Brookings, SD","15100",1995,61,59,2,0,0,0,0,56,37,19,0,0,0,0,61
"Brownsville, TN","15140",1995,181,97,66,17,1,0,0,164,100,50,0,0,181,0,0
"Brownsville-Harlingen, TX","15180",1995,356,329,24,3,0,0,0,119,48,30,58,0,273,0,25
"Brunswick, GA","15260",1995,145,131,12,2,0,0,0,129,50,33,0,0,145,0,0
"Bucyrus, OH","15340",1995,270,191,50,24,5,0,0,190,101,41,0,0,270,0,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",1995,365,266,81,12,6,0,0,190,79,42,1,177,187,0,0
"Burley, ID","15420",1995,61,60,1,0,0,0,0,59,37,19,0,0,0,0,61
"Burlington, NC","15500",1995,55,53,2,0,0,0,0,53,32,19,0,0,0,0,55
"Burlington-South Burlington, VT","15540",1995,365,314,43,8,0,0,0,133,64,35,5,162,186,8,4
"Butte-Silver Bow, MT","15580",1995,358,344,14,0,0,0,0,72,37,17,0,0,0,0,358
"Cambridge, MD","15700",1995,54,9,14,17,14,0,0,190,174,115,0,0,54,0,0
"Camden, AR","15780",1995,59,58,1,0,0,0,0,52,36,19,0,0,0,0,59
"Canton-Massillon, OH","15940",1995,365,251,76,25,13,0,0,200,101,35,40,0,206,0,119
"Cape Coral-Fort Myers, FL","15980",1995,365,327,35,3,0,0,0,115,51,36,0,0,363,0,2
"Carbondale-Marion, IL","16060",1995,59,58,1,0,0,0,0,53,38,18,0,0,0,0,59
