"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Adrian, MI","10300",1997,180,137,33,9,1,0,0,154,84,40,0,0,180,0,0
"Akron, OH","10420",1997,365,286,56,17,6,0,0,182,87,31,79,0,208,0,78
"Alamogordo, NM","10460",1997,52,50,2,0,0,0,0,59,22,13,0,0,0,0,52
"Albany, GA","10500",1997,57,53,4,0,0,0,0,63,44,22,0,0,0,0,57
"Albany-Schenectady-Troy, NY","10580",1997,365,317,35,11,2,0,0,177,61,36,6,102,255,0,2
"Albuquerque, NM","10740",1997,365,177,173,15,0,0,0,126,84,51,20,80,233,0,32
"Alexandria, LA","10780",1997,361,257,90,14,0,0,0,136,74,40,0,0,355,0,6
"Alexandria, MN","10820",1997,35,35,0,0,0,0,0,19,16,12,0,0,0,0,35
"Allentown-Bethlehem-Easton, PA-NJ","10900",1997,365,282,48,22,12,1,0,207,97,40,3,166,183,0,13
"Alpena, MI","10980",1997,40,32,8,0,0,0,0,73,62,27,0,0,0,0,40
"Altoona, PA","11020",1997,365,296,48,15,5,1,0,203,77,36,3,159,194,0,9
"Americus, GA","11140",1997,206,126,65,13,2,0,0,174,93,45,0,0,206,0,0
"Ames, IA","11180",1997,244,185,50,9,0,0,0,143,84,39,0,0,244,0,0
"Anchorage, AK","11260",1997,360,266,94,0,0,0,0,91,62,38,142,0,0,0,218
"Ann Arbor, MI","11460",1997,364,300,50,12,2,0,0,154,74,31,0,0,364,0,0
"Anniston-Oxford-Jacksonville, AL","11500",1997,57,57,0,0,0,0,0,47,39,19,0,0,0,0,57
"Appleton, WI","11540",1997,178,146,27,4,1,0,0,151,64,38,0,0,178,0,0
"Ardmore, OK","11620",1997,24,23,1,0,0,0,0,53,43,26,0,0,0,0,24
"Arkadelphia, AR","11660",1997,362,280,72,10,0,0,0,140,71,37,0,0,362,0,0
"Asheville, NC","11700",1997,360,212,103,39,6,0,0,172,108,44,0,0,209,29,122
"Ashtabula, OH","11780",1997,213,151,37,17,8,0,0,174,101,42,0,0,213,0,0
"Athens, OH","11900",1997,56,56,0,0,0,0,0,35,28,18,0,0,0,0,56
"Athens, TN","11940",1997,359,345,14,0,0,0,0,62,42,26,0,319,0,0,40
"Atlanta-Sandy Springs-Roswell, GA","12060",1997,365,179,116,35,24,11,0,225,147,51,4,141,214,0,6
"Atlantic City-Hammonton, NJ","12100",1997,365,246,75,29,11,4,0,221,112,43,9,0,314,41,1
"Auburn, IN","12140",1997,214,204,10,0,0,0,0,63,37,20,4,153,0,0,57
"Augusta-Richmond County, GA-SC","12260",1997,365,239,83,37,6,0,0,179,108,42,0,27,331,0,7
"Augusta-Waterville, ME","12300",1997,227,199,20,6,2,0,0,179,58,37,0,0,194,0,33
"Austin-Round Rock, TX","12420",1997,365,285,50,25,5,0,0,179,97,35,2,11,352,0,0
"Bakersfield, CA","12540",1997,365,134,97,77,53,4,0,214,161,74,0,63,286,0,16
"Baltimore-Columbia-Towson, MD","12580",1997,365,225,73,37,19,11,0,245,140,45,21,127,204,0,13
"Bangor, ME","12620",1997,360,332,24,4,0,0,0,147,48,34,0,0,347,0,13
"Baraboo, WI","12660",1997,363,307,51,5,0,0,0,143,67,36,0,13,350,0,0
"Barnstable Town, MA","12700",1997,217,158,28,15,14,2,0,205,126,41,0,13,204,0,0
"Barre, VT","12740",1997,56,56,0,0,0,0,0,36,31,19,0,0,0,0,56
"Baton Rouge, LA","12940",1997,365,213,82,44,23,3,0,210,140,46,2,123,237,0,3
"Battle Creek, MI","12980",1997,58,58,0,0,0,0,0,45,35,19,0,0,0,0,58
"Beaumont-Port Arthur, TX","13140",1997,365,271,61,21,10,2,0,218,97,37,0,62,303,0,0
"Beaver Dam, WI","13180",1997,179,138,34,6,1,0,0,154,77,41,0,0,179,0,0
"Beckley, WV","13220",1997,60,60,0,0,0,0,0,43,38,21,0,0,0,0,60
"Bedford, IN","13260",1997,182,94,63,21,4,0,0,172,119,50,0,0,182,0,0
"Bellefontaine, OH","13340",1997,181,119,43,14,5,0,0,164,101,44,0,0,181,0,0
"Bellingham, WA","13380",1997,252,243,9,0,0,0,0,84,44,30,0,0,190,37,25
