"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2007,121,108,13,0,0,0,0,71,51,32,0,0,0,110,11
"Aberdeen, WA","10140",2007,362,315,47,0,0,0,0,81,55,24,0,0,0,362,0
"Adjuntas, PR","10260",2007,92,86,6,0,0,0,0,68,48,25,0,0,0,92,0
"Adrian, MI","10300",2007,177,116,46,13,2,0,0,159,97,45,0,0,177,0,0
"Akron, OH","10420",2007,365,219,109,29,8,0,0,179,101,45,101,0,182,82,0
"Alamogordo, NM","10460",2007,222,219,3,0,0,0,0,84,19,10,0,0,0,0,222
"Albany, GA","10500",2007,114,59,50,4,1,0,0,181,84,49,0,0,0,105,9
"Albany, OR","10540",2007,363,294,62,6,1,0,0,188,62,26,0,0,0,363,0
"Albany-Schenectady-Troy, NY","10580",2007,365,231,110,21,3,0,0,159,85,43,0,0,209,156,0
"Albuquerque, NM","10740",2007,365,79,260,25,1,0,0,178,95,63,0,2,194,97,72
"Alexandria, LA","10780",2007,113,83,30,0,0,0,0,74,59,40,0,0,0,113,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2007,365,181,152,30,2,0,0,169,98,51,0,22,134,207,2
"Altoona, PA","11020",2007,365,315,46,4,0,0,0,122,58,35,0,156,204,0,5
"Amarillo, TX","11100",2007,365,321,44,0,0,0,0,87,51,38,0,0,212,153,0
"Americus, GA","11140",2007,237,155,74,8,0,0,0,143,80,46,0,0,237,0,0
"Ames, IA","11180",2007,207,176,27,4,0,0,0,136,58,39,0,0,207,0,0
"Anchorage, AK","11260",2007,310,275,34,1,0,0,0,135,52,22,105,0,0,93,112
"Ann Arbor, MI","11460",2007,364,258,88,17,1,0,0,156,74,40,0,0,295,69,0
"Appleton, WI","11540",2007,252,169,73,10,0,0,0,143,77,43,0,0,183,69,0
"Ardmore, OK","11620",2007,270,174,80,15,1,0,0,172,93,46,0,0,270,0,0
"Arkadelphia, AR","11660",2007,358,323,33,2,0,0,0,129,50,33,0,0,358,0,0
"Asheville, NC","11700",2007,345,130,197,17,1,0,0,161,93,58,0,0,154,191,0
"Ashtabula, OH","11780",2007,214,146,44,18,6,0,0,182,112,44,0,0,214,0,0
"Athens, OH","11900",2007,360,248,90,21,1,0,0,151,90,39,0,93,232,35,0
"Athens, TN","11940",2007,364,289,72,3,0,0,0,122,65,26,0,250,0,108,6
"Athens-Clarke County, GA","12020",2007,357,149,180,26,2,0,0,155,93,55,0,0,115,242,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2007,365,80,202,50,29,4,0,220,147,70,0,9,142,214,0
"Atlantic City-Hammonton, NJ","12100",2007,364,262,89,13,0,0,0,143,84,40,0,0,293,70,1
"Augusta-Richmond County, GA-SC","12260",2007,365,132,206,25,2,0,0,164,93,59,0,1,179,185,0
"Augusta-Waterville, ME","12300",2007,209,188,11,9,1,0,0,156,54,33,0,0,181,0,28
"Austin-Round Rock, TX","12420",2007,365,246,111,7,1,0,0,169,69,43,0,0,195,170,0
"Bakersfield, CA","12540",2007,365,30,151,114,66,4,0,205,160,101,0,1,192,167,5
"Baltimore-Columbia-Towson, MD","12580",2007,365,122,180,46,14,3,0,214,129,60,0,11,164,189,1
"Bangor, ME","12620",2007,357,332,19,6,0,0,0,133,49,32,0,0,334,16,7
"Baraboo, WI","12660",2007,365,281,80,4,0,0,0,140,64,38,0,0,307,58,0
"Barnstable Town, MA","12700",2007,233,177,40,15,1,0,0,169,80,38,0,0,168,65,0
"Baton Rouge, LA","12940",2007,365,126,192,37,9,1,0,202,115,57,0,6,170,187,2
"Bay City, MI","13020",2007,112,72,40,0,0,0,0,89,66,38,0,0,0,112,0
"Beaumont-Port Arthur, TX","13140",2007,365,161,176,26,2,0,0,169,87,52,0,2,135,228,0
"Beaver Dam, WI","13180",2007,365,267,87,11,0,0,0,136,74,38,2,0,278,76,9
"Beckley, WV","13220",2007,115,65,49,1,0,0,0,122,78,47,0,0,0,115,0
