"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2005,122,100,22,0,0,0,0,81,61,33,0,0,0,119,3
"Aberdeen, WA","10140",2005,365,348,17,0,0,0,0,61,40,22,0,0,0,365,0
"Adjuntas, PR","10260",2005,107,100,7,0,0,0,0,65,49,20,0,0,0,107,0
"Adrian, MI","10300",2005,182,104,54,22,2,0,0,179,105,47,0,0,182,0,0
"Akron, OH","10420",2005,365,205,119,32,8,1,0,202,101,46,85,0,173,107,0
"Albany, GA","10500",2005,116,53,62,1,0,0,0,107,75,52,0,0,0,111,5
"Albany, OR","10540",2005,362,298,60,3,1,0,0,152,63,22,0,0,0,362,0
"Albany-Schenectady-Troy, NY","10580",2005,365,258,87,17,3,0,0,187,80,43,2,0,307,56,0
"Albuquerque, NM","10740",2005,365,108,231,24,2,0,0,169,95,61,0,2,186,27,150
"Alexandria, LA","10780",2005,262,184,74,4,0,0,0,119,74,43,0,0,186,76,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2005,365,151,181,27,6,0,0,166,98,55,0,16,106,213,30
"Altoona, PA","11020",2005,365,299,54,12,0,0,0,150,72,36,1,156,201,0,7
"Amarillo, TX","11100",2005,363,335,28,0,0,0,0,72,46,25,0,0,0,363,0
"Americus, GA","11140",2005,244,175,65,4,0,0,0,140,80,42,0,0,244,0,0
"Ames, IA","11180",2005,214,189,24,1,0,0,0,105,51,37,0,0,214,0,0
"Anchorage, AK","11260",2005,303,252,48,2,1,0,0,151,57,23,108,0,0,93,102
"Ann Arbor, MI","11460",2005,361,235,103,19,4,0,0,200,93,43,0,0,291,70,0
"Appleton, WI","11540",2005,245,155,74,16,0,0,0,143,87,42,0,0,169,76,0
"Ardmore, OK","11620",2005,255,164,73,15,3,0,0,161,87,45,0,0,221,34,0
"Arkadelphia, AR","11660",2005,344,258,78,8,0,0,0,119,77,40,0,0,344,0,0
"Asheville, NC","11700",2005,362,143,186,32,1,0,0,154,97,55,0,0,154,208,0
"Ashtabula, OH","11780",2005,213,135,49,22,7,0,0,197,112,45,0,0,213,0,0
"Athens, OH","11900",2005,61,31,26,3,1,0,0,194,90,50,0,0,0,61,0
"Athens, TN","11940",2005,355,285,69,1,0,0,0,102,61,25,0,239,0,102,14
"Athens-Clarke County, GA","12020",2005,364,146,201,15,2,0,0,161,90,54,0,0,106,258,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2005,365,77,220,51,15,2,0,209,129,65,0,13,127,225,0
"Atlantic City-Hammonton, NJ","12100",2005,352,255,77,18,2,0,0,161,77,40,0,0,279,71,2
"Augusta-Richmond County, GA-SC","12260",2005,365,130,204,29,2,0,0,156,97,57,0,0,117,247,1
"Augusta-Waterville, ME","12300",2005,213,190,20,3,0,0,0,143,51,33,0,0,183,0,30
"Austin-Round Rock, TX","12420",2005,365,215,132,15,3,0,0,156,90,46,0,6,198,161,0
"Bakersfield, CA","12540",2005,365,47,149,90,72,7,0,208,167,93,0,5,208,150,2
"Baltimore-Columbia-Towson, MD","12580",2005,365,76,231,38,16,4,0,208,119,64,0,15,101,249,0
"Bangor, ME","12620",2005,364,328,34,2,0,0,0,108,50,33,0,0,329,33,2
"Baraboo, WI","12660",2005,365,267,87,11,0,0,0,147,75,41,0,0,305,60,0
"Barnstable Town, MA","12700",2005,233,169,46,11,7,0,0,174,87,42,0,2,175,56,0
"Baton Rouge, LA","12940",2005,365,93,198,54,19,1,0,201,133,61,0,10,178,175,2
"Bay City, MI","13020",2005,117,70,42,5,0,0,0,124,77,40,0,0,0,117,0
"Beaumont-Port Arthur, TX","13140",2005,353,120,182,46,4,1,0,204,112,57,0,3,150,200,0
"Beaver Dam, WI","13180",2005,365,210,132,21,2,0,0,158,89,46,0,0,212,152,1
"Beckley, WV","13220",2005,117,61,56,0,0,0,0,94,81,46,0,0,0,117,0
"Bellingham, WA","13380",2005,365,328,37,0,0,0,0,80,51,28,0,0,95,270,0
"Bend-Redmond, OR","13460",2005,365,327,38,0,0,0,0,90,52,20,7,0,0,349,9
"Bennington, VT","13540",2005,340,283,48,9,0,0,0,136,58,40,0,0,286,54,0
"Berlin, NH-VT","13620",2005,244,152,78,14,0,0,0,140,81,46,0,0,155,89,0
"Billings, MT","13740",2005,365,342,23,0,0,0,0,91,48,30,108,2,187,60,8
"Birmingham-Hoover, AL","13820",2005,365,28,270,57,10,0,0,179,120,75,39,0,52,243,31
"Bishop, CA","13860",2005,365,170,125,46,9,3,12,3884,133,51,0,0,301,3,61
"Bismarck, ND","13900",2005,365,345,20,0,0,0,0,73,47,33,0,14,316,33,2
"Blackfoot, ID","13940",2005,26,24,2,0,0,0,0,62,47,19,0,0,0,0,26
"Blacksburg-Christiansburg-Radford, VA","13980",2005,359,261,85,13,0,0,0,150,84,43,0,0,359,0,0
"Bloomington, IL","14010",2005,364,263,86,15,0,0,0,140,84,39,0,0,332,32,0
"Bloomington, IN","14020",2005,183,90,70,23,0,0,0,147,108,51,0,0,183,0,0
"Bluefield, WV-VA","14140",2005,86,43,43,0,0,0,0,96,82,51,0,0,0,86,0
"Blytheville, AR","14180",2005,111,49,57,5,0,0,0,112,82,53,0,0,0,111,0
"Boise City, ID","14260",2005,365,181,168,15,1,0,0,151,84,51,7,0,138,208,12
"Boone, NC","14380",2005,118,65,51,1,1,0,0,158,78,46,0,0,0,118,0
"Boston-Cambridge-Newton, MA-NH","14460",2005,365,126,205,26,8,0,0,195,97,57,0,25,97,243,0
"Boulder, CO","14500",2005,365,257,100,8,0,0,0,147,74,44,17,0,311,37,0
"Bowling Green, KY","14540",2005,365,219,122,24,0,0,0,140,93,46,0,23,256,84,2
"Bozeman, MT","14580",2005,365,344,18,3,0,0,0,124,39,15,55,0,0,296,14
"Brainerd, MN","14660",2005,331,253,73,4,1,0,0,152,64,38,0,0,117,214,0
"Branson, MO","14700",2005,119,81,38,0,0,0,0,95,67,34,0,0,0,119,0
"Breckenridge, CO","14720",2005,268,248,19,1,0,0,0,108,46,14,0,0,0,0,268
"Bridgeport-Stamford-Norwalk, CT","14860",2005,365,245,84,20,12,4,0,205,99,43,16,120,157,72,0
"Brookings, SD","15100",2005,136,109,27,0,0,0,0,83,60,29,0,0,0,106,30
"Brownsville-Harlingen, TX","15180",2005,361,221,136,4,0,0,0,133,70,45,1,0,97,261,2
"Brunswick, GA","15260",2005,281,206,74,1,0,0,0,127,63,41,0,0,185,96,0
"Bucyrus, OH","15340",2005,342,266,53,23,0,0,0,147,80,36,0,0,342,0,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2005,365,218,109,33,5,0,0,195,101,45,0,101,192,72,0
"Burlington, NC","15500",2005,118,52,65,1,0,0,0,110,79,54,0,0,0,118,0
"Burlington-South Burlington, VT","15540",2005,365,298,62,5,0,0,0,143,60,39,1,32,265,67,0
"Butte-Silver Bow, MT","15580",2005,365,321,41,3,0,0,0,137,53,20,105,0,0,103,157
"Cadillac, MI","15620",2005,361,281,68,11,1,0,0,151,80,39,0,0,320,41,0
"Cambridge, MD","15700",2005,356,269,60,23,4,0,0,164,87,39,0,0,356,0,0
"Canton-Massillon, OH","15940",2005,361,213,114,30,3,1,0,201,97,45,100,0,168,93,0
"Cape Coral-Fort Myers, FL","15980",2005,364,304,56,4,0,0,0,140,58,38,0,0,319,39,6
"Carbondale-Marion, IL","16060",2005,57,56,1,0,0,0,0,51,33,22,0,0,0,0,57
"Carlsbad-Artesia, NM","16100",2005,365,285,77,3,0,0,0,112,61,42,0,4,330,31,0
"Carson City, NV","16180",2005,365,342,23,0,0,0,0,87,49,36,152,0,213,0,0
"Casper, WY","16220",2005,91,91,0,0,0,0,0,41,26,14,0,0,0,0,91
"Ca¤on City, CO","15860",2005,54,54,0,0,0,0,0,31,27,17,0,0,0,0,54
"Cedar Rapids, IA","16300",2005,365,209,143,13,0,0,0,133,80,46,6,0,144,214,1
"Centralia, WA","16500",2005,190,186,4,0,0,0,0,61,43,30,0,0,103,87,0
"Chambersburg-Waynesboro, PA","16540",2005,204,139,57,8,0,0,0,119,87,45,0,0,204,0,0
"Champaign-Urbana, IL","16580",2005,365,241,102,22,0,0,0,143,87,43,0,0,290,75,0
"Charleston, WV","16620",2005,364,212,130,20,2,0,0,154,87,45,0,0,141,113,110
"Charleston-North Charleston, SC","16700",2005,365,169,180,16,0,0,0,140,81,52,0,2,109,253,1
"Charlotte-Concord-Gastonia, NC-SC","16740",2005,365,97,200,54,13,1,0,206,122,63,0,8,150,207,0
"Charlottesville, VA","16820",2005,59,59,0,0,0,0,0,36,32,19,0,0,0,0,59
"Chattanooga, TN-GA","16860",2005,288,126,134,26,2,0,0,185,100,54,0,0,190,97,1
"Cheyenne, WY","16940",2005,111,111,0,0,0,0,0,43,30,17,0,0,0,88,23
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2005,365,51,240,49,23,2,0,208,126,71,0,71,93,189,12
"Chico, CA","17020",2005,365,213,113,38,1,0,0,159,105,47,0,2,295,68,0
"Cincinnati, OH-KY-IN","17140",2005,365,165,136,45,16,3,0,208,129,54,0,100,170,93,2
"Claremont-Lebanon, NH-VT","17200",2005,362,319,39,4,0,0,0,133,54,36,0,0,329,33,0
"Clarksburg, WV","17220",2005,119,46,72,1,0,0,0,113,81,53,0,0,0,119,0
"Clarksville, TN-KY","17300",2005,361,203,126,31,1,0,0,153,100,48,0,3,288,70,0
"Clearlake, CA","17340",2005,361,352,9,0,0,0,0,87,46,35,0,0,355,6,0
"Cleveland, MS","17380",2005,363,184,163,16,0,0,0,135,86,50,0,0,122,241,0
"Cleveland, TN","17420",2005,356,352,4,0,0,0,0,64,33,23,0,324,0,0,32
"Cleveland-Elyria, OH","17460",2005,365,157,142,49,16,1,0,214,122,57,2,65,149,103,46
"Clinton, IA","17540",2005,323,215,89,18,1,0,0,154,80,41,0,0,184,78,61
"Coeur d'Alene, ID","17660",2005,365,236,128,1,0,0,0,105,67,44,0,3,125,231,6
"Coffeyville, KS","17700",2005,365,358,7,0,0,0,0,52,31,13,0,0,0,0,365
"Colorado Springs, CO","17820",2005,365,256,95,13,1,0,0,151,77,44,3,0,330,25,7
"Columbia, MO","17860",2005,112,61,49,2,0,0,0,105,72,48,0,0,0,112,0
"Columbia, SC","17900",2005,365,123,218,20,4,0,0,177,94,57,0,1,125,193,46
"Columbus, GA-AL","17980",2005,365,150,200,14,1,0,0,156,88,55,0,0,93,271,1
"Columbus, MS","18060",2005,99,54,43,2,0,0,0,117,78,49,0,0,0,99,0
"Columbus, OH","18140",2005,365,199,116,43,6,1,0,201,112,47,13,0,178,78,96
"Concord, NH","18180",2005,241,179,56,6,0,0,0,126,70,41,0,0,155,86,0
"Cookeville, TN","18260",2005,121,58,58,4,1,0,0,152,79,52,0,0,0,121,0
"Corning, NY","18500",2005,340,235,103,2,0,0,0,123,69,33,0,0,0,340,0
"Corpus Christi, TX","18580",2005,365,233,130,2,0,0,0,113,70,45,0,0,126,237,2
"Corvallis, OR","18700",2005,362,324,37,1,0,0,0,104,52,15,0,0,0,362,0
"Crescent City, CA","18860",2005,131,131,0,0,0,0,0,43,23,13,0,0,0,117,14
"Cullowhee, NC","19000",2005,126,67,56,3,0,0,0,108,74,49,0,0,26,100,0
"Dallas-Fort Worth-Arlington, TX","19100",2005,365,118,162,45,36,4,0,213,154,59,0,21,187,156,1
"Dalton, GA","19140",2005,277,179,79,18,1,0,0,151,93,45,0,0,207,70,0
"Daphne-Fairhope-Foley, AL","19300",2005,254,158,86,10,0,0,0,147,80,46,0,0,171,83,0
"Davenport-Moline-Rock Island, IA-IL","19340",2005,365,123,213,29,0,0,0,140,93,58,0,0,115,157,93
"Dayton, OH","19380",2005,365,200,125,38,2,0,0,174,101,47,97,0,180,88,0
"DeRidder, LA","19760",2005,364,299,59,6,0,0,0,122,64,40,0,0,364,0,0
"Decatur, AL","19460",2005,285,154,111,20,0,0,0,136,97,49,0,0,201,84,0
"Decatur, IL","19500",2005,365,256,90,19,0,0,0,136,87,38,0,0,324,41,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2005,365,299,63,3,0,0,0,133,59,38,0,0,291,58,16
"Deming, NM","19700",2005,60,59,1,0,0,0,0,61,33,19,0,0,0,0,60
"Denver-Aurora-Lakewood, CO","19740",2005,365,111,213,39,2,0,0,164,103,58,0,109,159,66,31
"Des Moines-West Des Moines, IA","19780",2005,365,220,132,13,0,0,0,134,80,46,1,39,145,173,7
"Detroit-Warren-Dearborn, MI","19820",2005,365,117,200,31,16,1,0,202,116,60,0,23,103,226,13
"Dickinson, ND","19860",2005,352,335,17,0,0,0,0,74,48,36,0,0,338,14,0
"Dodge City, KS","19980",2005,61,60,1,0,0,0,0,51,27,15,0,0,0,0,61
"Dothan, AL","20020",2005,265,186,77,2,0,0,0,124,71,44,0,0,170,95,0
"Douglas, GA","20060",2005,59,34,25,0,0,0,0,96,70,41,0,0,0,59,0
"Dover, DE","20100",2005,265,150,93,20,2,0,0,154,97,47,0,0,192,73,0
"DuBois, PA","20180",2005,208,115,66,23,4,0,0,161,108,48,0,0,208,0,0
"Duluth, MN-WI","20260",2005,365,260,99,6,0,0,0,133,69,41,0,0,189,174,2
"Durango, CO","20420",2005,365,222,138,5,0,0,0,140,77,47,0,8,349,0,8
"Durham-Chapel Hill, NC","20500",2005,348,144,176,28,0,0,0,150,100,53,0,0,122,226,0
"Dyersburg, TN","20540",2005,111,50,59,2,0,0,0,131,76,52,0,0,0,111,0
"Eagle Pass, TX","20580",2005,129,97,32,0,0,0,0,84,57,35,0,0,0,129,0
"Eau Claire, WI","20740",2005,41,41,0,0,0,0,0,47,27,12,0,0,0,0,41
"Effingham, IL","20820",2005,215,141,67,7,0,0,0,119,84,44,0,0,215,0,0
"El Centro, CA","20940",2005,365,126,170,59,10,0,0,187,119,61,10,58,255,35,7
"El Dorado, AR","20980",2005,108,42,63,3,0,0,0,115,80,55,0,0,0,108,0
"El Paso, TX","21340",2005,365,90,233,37,5,0,0,185,104,62,1,16,137,153,58
"Elizabethtown-Fort Knox, KY","21060",2005,285,153,106,26,0,0,0,143,97,49,0,0,198,84,3
"Elkhart-Goshen, IN","21140",2005,241,100,115,21,5,0,0,172,101,56,0,0,163,78,0
"Elko, NV","21220",2005,260,253,7,0,0,0,0,67,35,18,0,0,0,54,206
"Ellensburg, WA","21260",2005,355,301,54,0,0,0,0,91,56,29,0,0,0,355,0
"Elmira, NY","21300",2005,339,302,34,3,0,0,0,119,54,33,0,0,339,0,0
"Emporia, KS","21380",2005,116,87,29,0,0,0,0,96,62,31,0,0,0,116,0
"Enid, OK","21420",2005,62,42,20,0,0,0,0,86,61,38,0,0,0,62,0
"Erie, PA","21500",2005,365,178,154,27,6,0,0,195,97,51,3,32,127,203,0
"Espa¤ola, NM","21580",2005,105,104,1,0,0,0,0,52,20,9,0,0,0,105,0
"Eufaula, AL-GA","21640",2005,59,35,23,1,0,0,0,119,68,47,0,0,0,59,0
"Eugene, OR","21660",2005,365,215,113,28,9,0,0,160,101,44,0,0,127,237,1
"Eureka-Arcata-Fortuna, CA","21700",2005,37,29,8,0,0,0,0,92,66,24,0,0,0,34,3
"Evansville, IN-KY","21780",2005,365,122,198,43,2,0,0,177,108,57,0,2,104,259,0
"Fairbanks, AK","21820",2005,225,188,34,2,1,0,0,153,69,23,134,0,0,91,0
"Fairmont, WV","21900",2005,118,39,77,2,0,0,0,122,82,56,0,0,0,118,0
"Fallon, NV","21980",2005,213,207,6,0,0,0,0,74,48,41,0,0,213,0,0
"Fargo, ND-MN","22020",2005,362,321,40,0,1,0,0,154,51,34,0,20,275,48,19
"Farmington, NM","22140",2005,365,264,93,8,0,0,0,136,71,44,0,43,309,13,0
"Fayetteville, NC","22180",2005,365,240,91,26,8,0,0,182,100,44,104,0,180,81,0
"Findlay, OH","22300",2005,61,61,0,0,0,0,0,42,32,23,0,0,0,0,61
"Flagstaff, AZ","22380",2005,358,241,107,9,1,0,0,159,79,47,0,0,350,8,0
"Flint, MI","22420",2005,237,140,72,25,0,0,0,150,102,45,0,0,160,76,1
"Florence, SC","22500",2005,319,209,90,19,1,0,0,151,84,44,0,0,247,72,0
"Florence-Muscle Shoals, AL","22520",2005,278,173,95,10,0,0,0,126,80,46,0,0,193,85,0
"Fond du Lac, WI","22540",2005,186,124,45,16,1,0,0,156,100,44,0,0,186,0,0
"Fort Collins, CO","22660",2005,365,236,117,11,1,0,0,151,80,48,0,0,352,13,0
"Fort Madison-Keokuk, IA-IL-MO","22800",2005,120,118,2,0,0,0,0,52,33,19,0,0,0,0,120
"Fort Payne, AL","22840",2005,358,248,102,8,0,0,0,140,74,43,0,0,275,83,0
"Fort Smith, AR-OK","22900",2005,116,48,65,3,0,0,0,115,74,55,0,0,0,116,0
"Fort Wayne, IN","23060",2005,365,165,163,32,5,0,0,164,101,53,6,0,109,249,1
"Frankfort, KY","23180",2005,118,62,52,4,0,0,0,134,79,49,0,0,0,118,0
"Fresno, CA","23420",2005,365,105,145,70,43,2,0,206,154,72,0,20,214,130,1
"Gadsden, AL","23460",2005,280,157,115,8,0,0,0,120,80,47,0,0,186,89,5
"Gaffney, SC","23500",2005,359,279,64,16,0,0,0,140,80,39,0,0,359,0,0
"Gainesville, FL","23540",2005,365,267,89,9,0,0,0,126,74,40,0,0,307,56,2
"Gainesville, GA","23580",2005,112,51,59,2,0,0,0,107,73,52,0,0,0,112,0
"Gardnerville Ranchos, NV","23820",2005,307,307,0,0,0,0,0,43,25,15,307,0,0,0,0
"Georgetown, SC","23860",2005,329,226,100,3,0,0,0,117,67,38,0,0,0,76,253
"Gettysburg, PA","23900",2005,364,168,169,26,1,0,0,161,93,53,0,0,174,190,0
"Gillette, WY","23940",2005,365,221,132,12,0,0,0,131,74,46,0,28,177,11,149
"Glenwood Springs, CO","24060",2005,357,348,9,0,0,0,0,69,34,18,0,0,0,1,356
"Goldsboro, NC","24140",2005,114,60,53,1,0,0,0,110,74,50,0,0,0,112,2
"Grand Island, NE","24260",2005,113,91,22,0,0,0,0,75,58,28,0,0,0,113,0
"Grand Junction, CO","24300",2005,365,322,42,1,0,0,0,122,52,29,7,0,0,91,267
"Grand Rapids-Wyoming, MI","24340",2005,365,181,146,30,8,0,0,182,105,51,0,36,132,197,0
"Grants Pass, OR","24420",2005,365,274,89,1,1,0,0,160,62,29,6,0,0,359,0
"Great Falls, MT","24500",2005,365,357,8,0,0,0,0,67,31,9,258,0,0,103,4
"Greeley, CO","24540",2005,365,244,102,19,0,0,0,147,84,44,29,0,300,36,0
"Green Bay, WI","24580",2005,252,148,79,20,5,0,0,192,100,44,0,0,173,79,0
"Greensboro-High Point, NC","24660",2005,365,147,193,23,2,0,0,172,96,55,8,0,126,231,0
"Greenville, NC","24780",2005,259,158,86,14,1,0,0,156,84,46,0,0,176,83,0
"Greenville-Anderson-Mauldin, SC","24860",2005,365,109,221,33,2,0,0,159,99,61,0,9,111,244,1
"Greenwood, SC","24940",2005,264,142,106,15,1,0,0,154,93,49,0,0,177,87,0
"Grenada, MS","24980",2005,49,22,27,0,0,0,0,95,75,52,0,0,0,49,0
"Guayama, PR","25020",2005,119,107,12,0,0,0,0,74,54,23,0,0,0,65,54
"Gulfport-Biloxi-Pascagoula, MS","25060",2005,361,125,198,35,3,0,0,156,101,58,0,4,132,225,0
