"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2023,181,161,17,2,1,0,0,162,52,23,0,0,0,144,37
"Aberdeen, WA","10140",2023,181,181,0,0,0,0,0,40,28,15,0,0,0,181,0
"Ada, OK","10220",2023,181,148,33,0,0,0,0,93,56,39,0,0,154,22,5
"Adrian, MI","10300",2023,180,102,64,9,4,1,0,229,90,49,0,0,75,105,0
"Akron, OH","10420",2023,243,153,81,6,2,1,0,205,80,45,0,0,156,87,0
"Albany, GA","10500",2023,242,152,85,5,0,0,0,140,70,43,0,0,0,242,0
"Albany, OR","10540",2023,212,199,13,0,0,0,0,84,44,20,0,0,0,212,0
"Albany-Schenectady-Troy, NY","10580",2023,266,211,48,4,3,0,0,177,61,39,0,0,159,107,0
"Albuquerque, NM","10740",2023,182,43,130,4,4,1,0,207,87,67,1,5,96,17,63
"Alexandria, LA","10780",2023,59,44,15,0,0,0,0,77,56,30,0,0,0,59,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2023,231,168,56,2,4,0,1,309,64,42,0,53,101,77,0
"Altoona, PA","11020",2023,177,122,49,1,5,0,0,193,77,44,0,0,83,94,0
"Amarillo, TX","11100",2023,212,141,68,3,0,0,0,125,77,46,0,0,193,19,0
"Americus, GA","11140",2023,153,135,18,0,0,0,0,87,51,39,0,0,153,0,0
"Anchorage, AK","11260",2023,182,155,26,1,0,0,0,102,54,23,5,0,0,84,93
"Ann Arbor, MI","11460",2023,212,125,74,9,4,0,0,196,87,46,0,0,124,88,0
"Appleton, WI","11540",2023,181,114,55,7,5,0,0,177,91,43,0,0,66,115,0
"Ardmore, OK","11620",2023,226,125,93,8,0,0,0,136,87,49,0,0,161,65,0
"Arkadelphia, AR","11660",2023,210,191,19,0,0,0,0,87,49,34,0,0,210,0,0
"Asheville, NC","11700",2023,243,170,68,5,0,0,0,112,74,45,0,0,178,65,0
"Ashtabula, OH","11780",2023,184,149,33,2,0,0,0,147,71,43,0,0,184,0,0
"Athens, OH","11900",2023,122,104,17,0,1,0,0,156,55,28,0,0,0,122,0
"Athens, TN","11940",2023,176,143,32,1,0,0,0,108,61,30,0,0,0,176,0
"Athens-Clarke County, GA","12020",2023,241,150,88,3,0,0,0,147,72,47,0,0,84,157,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2023,243,111,116,14,2,0,0,172,90,52,0,3,122,118,0
"Atlantic City-Hammonton, NJ","12100",2023,181,155,21,3,2,0,0,195,54,34,0,0,122,59,0
"Augusta-Richmond County, GA-SC","12260",2023,273,177,96,0,0,0,0,96,66,45,0,0,144,129,0
"Augusta-Waterville, ME","12300",2023,206,183,23,0,0,0,0,91,53,36,0,0,150,53,3
"Austin-Round Rock, TX","12420",2023,182,101,78,3,0,0,0,122,72,48,1,0,82,99,0
"Bakersfield, CA","12540",2023,240,173,65,2,0,0,0,111,60,42,0,0,58,170,12
"Baltimore-Columbia-Towson, MD","12580",2023,273,169,88,12,3,1,0,205,84,47,0,15,207,51,0
"Bangor, ME","12620",2023,270,245,25,0,0,0,0,88,50,36,0,0,177,91,2
"Baraboo, WI","12660",2023,181,116,45,15,4,1,0,246,101,44,0,0,77,104,0
"Barnstable Town, MA","12700",2023,173,160,11,2,0,0,0,140,49,40,0,0,173,0,0
"Baton Rouge, LA","12940",2023,274,127,124,22,1,0,0,154,97,52,1,0,152,121,0
