"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",1991,28,28,0,0,0,0,0,46,25,18,0,0,0,0,28
"Akron, OH","10420",1991,365,250,50,35,28,2,0,215,140,36,19,0,309,0,37
"Albany, OR","10540",1991,58,46,12,0,0,0,0,76,61,30,0,0,0,0,58
"Albany-Schenectady-Troy, NY","10580",1991,365,293,46,21,5,0,0,174,77,38,18,113,227,0,7
"Albuquerque, NM","10740",1991,365,153,197,15,0,0,0,126,87,56,70,0,258,0,37
"Alexandria, LA","10780",1991,244,227,15,2,0,0,0,143,47,28,0,0,215,0,29
"Allentown-Bethlehem-Easton, PA-NJ","10900",1991,365,244,81,26,11,3,0,208,105,43,11,188,163,0,3
"Alma, MI","10940",1991,354,354,0,0,0,0,0,24,10,5,354,0,0,0,0
"Altoona, PA","11020",1991,365,270,65,22,8,0,0,179,90,39,1,145,219,0,0
"Amarillo, TX","11100",1991,51,50,1,0,0,0,0,78,29,18,0,0,0,0,51
"Americus, GA","11140",1991,285,224,49,10,2,0,0,166,67,38,0,0,285,0,0
"Anchorage, AK","11260",1991,364,212,146,6,0,0,0,135,81,44,139,0,0,0,225
"Ann Arbor, MI","11460",1991,360,273,52,25,10,0,0,185,100,35,0,0,360,0,0
"Anniston-Oxford-Jacksonville, AL","11500",1991,57,52,5,0,0,0,0,64,43,24,0,0,0,0,57
"Appleton, WI","11540",1991,175,142,27,6,0,0,0,119,74,36,0,0,175,0,0
"Ardmore, OK","11620",1991,53,53,0,0,0,0,0,46,40,22,0,0,0,0,53
"Arkadelphia, AR","11660",1991,363,300,54,9,0,0,0,133,64,37,0,0,363,0,0
"Asheville, NC","11700",1991,235,222,13,0,0,0,0,93,48,32,0,0,206,0,29
"Ashtabula, OH","11780",1991,207,111,54,26,15,1,0,202,136,46,0,0,207,0,0
"Athens, OH","11900",1991,20,20,0,0,0,0,0,47,40,19,0,0,0,0,20
"Athens, TN","11940",1991,357,333,24,0,0,0,0,81,42,24,0,317,0,0,40
"Atlanta-Sandy Springs-Roswell, GA","12060",1991,365,191,103,44,26,1,0,205,133,49,18,116,226,0,5
"Atlantic City-Hammonton, NJ","12100",1991,362,233,59,36,27,7,0,229,140,44,83,0,252,21,6
"Augusta-Richmond County, GA-SC","12260",1991,365,282,71,11,1,0,0,154,71,39,0,0,362,0,3
"Augusta-Waterville, ME","12300",1991,265,224,28,9,3,1,0,210,71,35,0,0,210,0,55
"Austin-Round Rock, TX","12420",1991,365,283,66,13,3,0,0,166,77,38,8,101,250,0,6
"Bakersfield, CA","12540",1991,365,75,127,62,68,32,1,430,195,89,16,86,233,0,30
"Baltimore-Columbia-Towson, MD","12580",1991,363,146,124,44,35,14,0,241,169,56,48,142,160,0,13
"Bangor, ME","12620",1991,276,251,24,0,1,0,0,151,49,28,0,0,145,0,131
"Barnstable Town, MA","12700",1991,198,133,31,18,10,6,0,232,140,43,0,0,198,0,0
"Barre, VT","12740",1991,53,51,2,0,0,0,0,62,34,19,0,0,0,0,53
"Baton Rouge, LA","12940",1991,365,232,92,27,12,2,0,208,101,44,3,117,237,0,8
"Battle Creek, MI","12980",1991,60,53,7,0,0,0,0,70,52,21,0,0,0,0,60
"Bay City, MI","13020",1991,15,13,2,0,0,0,0,62,51,20,0,0,0,0,15
"Beaumont-Port Arthur, TX","13140",1991,365,255,63,27,16,4,0,213,115,39,1,39,322,0,3
"Beaver Dam, WI","13180",1991,181,141,29,10,1,0,0,154,80,40,0,0,181,0,0
"Bellefontaine, OH","13340",1991,211,98,67,30,15,1,0,204,140,58,0,0,211,0,0
"Bellingham, WA","13380",1991,240,228,12,0,0,0,0,84,44,31,0,0,194,0,46
"Bend-Redmond, OR","13460",1991,213,141,72,0,0,0,0,91,64,43,158,0,0,0,55
"Bennington, VT","13540",1991,219,161,39,11,8,0,0,190,93,41,0,0,198,21,0
"Berlin, NH-VT","13620",1991,344,268,60,11,5,0,0,164,67,36,0,0,81,0,263
"Billings, MT","13740",1991,365,350,15,0,0,0,0,64,40,22,338,0,0,0,27
"Binghamton, NY","13780",1991,59,58,1,0,0,0,0,51,45,21,0,0,0,0,59
