"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Adrian, MI","10300",1996,183,120,43,17,3,0,0,172,105,45,0,0,183,0,0
"Akron, OH","10420",1996,366,284,42,30,10,0,0,185,105,33,98,0,207,0,61
"Alamogordo, NM","10460",1996,44,42,2,0,0,0,0,84,40,16,0,0,0,0,44
"Albany, GA","10500",1996,10,10,0,0,0,0,0,25,25,16,0,0,0,0,10
"Albany-Schenectady-Troy, NY","10580",1996,366,310,43,9,4,0,0,172,64,35,5,111,247,0,3
"Albuquerque, NM","10740",1996,366,132,213,21,0,0,0,150,90,57,24,97,182,0,63
"Alexandria, LA","10780",1996,348,284,61,3,0,0,0,126,67,37,0,0,344,0,4
"Alexandria, MN","10820",1996,7,7,0,0,0,0,0,10,10,4,0,0,0,0,7
"Allentown-Bethlehem-Easton, PA-NJ","10900",1996,366,266,64,30,6,0,0,197,97,43,3,208,152,0,3
"Altoona, PA","11020",1996,366,298,51,15,2,0,0,185,71,35,3,156,189,0,18
"Amarillo, TX","11100",1996,57,57,0,0,0,0,0,39,30,15,0,0,0,0,57
"Anchorage, AK","11260",1996,351,228,117,6,0,0,0,128,71,41,149,0,0,0,202
"Ann Arbor, MI","11460",1996,275,220,36,13,6,0,0,174,84,35,0,0,275,0,0
"Anniston-Oxford-Jacksonville, AL","11500",1996,53,53,0,0,0,0,0,37,25,17,0,0,0,0,53
"Appleton, WI","11540",1996,182,142,29,10,1,0,0,154,80,40,0,0,182,0,0
"Ardmore, OK","11620",1996,51,50,1,0,0,0,0,55,41,22,0,0,0,0,51
"Arkadelphia, AR","11660",1996,211,172,34,5,0,0,0,140,64,36,0,0,211,0,0
"Asheville, NC","11700",1996,361,214,111,31,5,0,0,169,100,45,0,0,203,19,139
"Ashtabula, OH","11780",1996,167,127,30,7,3,0,0,179,80,40,0,0,167,0,0
"Athens, OH","11900",1996,58,58,0,0,0,0,0,45,22,16,0,0,0,0,58
"Athens, TN","11940",1996,354,342,12,0,0,0,0,79,41,25,0,304,0,0,50
"Atlanta-Sandy Springs-Roswell, GA","12060",1996,366,159,136,40,26,5,0,218,140,54,8,170,184,0,4
"Atlantic City-Hammonton, NJ","12100",1996,365,259,73,22,11,0,0,182,100,41,46,0,279,36,4
"Auburn, IN","12140",1996,362,304,49,9,0,0,0,136,61,28,11,155,167,0,29
