"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2008,122,104,18,0,0,0,0,88,55,29,0,0,0,102,20
"Aberdeen, WA","10140",2008,366,331,35,0,0,0,0,83,50,29,0,0,0,366,0
"Adjuntas, PR","10260",2008,112,111,1,0,0,0,0,74,31,18,0,0,0,112,0
"Adrian, MI","10300",2008,197,129,62,6,0,0,0,133,74,46,0,0,147,50,0
"Akron, OH","10420",2008,366,245,104,16,1,0,0,164,80,42,101,0,179,86,0
"Albany, GA","10500",2008,261,105,154,2,0,0,0,121,72,53,0,0,0,256,5
"Albany, OR","10540",2008,366,230,131,5,0,0,0,122,70,34,0,0,0,366,0
"Albany-Schenectady-Troy, NY","10580",2008,366,239,116,9,2,0,0,156,74,44,0,0,184,182,0
"Albuquerque, NM","10740",2008,366,107,253,6,0,0,0,143,84,59,0,9,189,83,85
"Alexandria, LA","10780",2008,116,92,24,0,0,0,0,72,56,36,0,0,0,116,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2008,366,190,157,18,1,0,0,172,87,49,0,22,125,210,9
"Altoona, PA","11020",2008,365,307,53,5,0,0,0,140,64,33,2,159,193,0,11
"Amarillo, TX","11100",2008,366,289,77,0,0,0,0,100,67,41,0,0,303,63,0
"Americus, GA","11140",2008,228,180,46,2,0,0,0,105,77,40,0,0,228,0,0
"Ames, IA","11180",2008,213,200,13,0,0,0,0,71,48,38,0,0,213,0,0
"Anchorage, AK","11260",2008,312,276,35,1,0,0,0,140,53,21,106,0,0,97,109
"Ann Arbor, MI","11460",2008,364,278,82,4,0,0,0,140,70,38,0,0,300,64,0
"Appleton, WI","11540",2008,256,185,70,0,1,0,0,152,64,42,0,0,183,73,0
"Ardmore, OK","11620",2008,274,193,74,7,0,0,0,122,77,45,0,0,274,0,0
"Arkadelphia, AR","11660",2008,343,324,19,0,0,0,0,84,47,31,0,0,343,0,0
"Asheville, NC","11700",2008,364,179,167,16,2,0,0,159,84,51,0,0,159,205,0
"Ashtabula, OH","11780",2008,212,151,51,10,0,0,0,136,84,44,0,0,212,0,0
"Athens, OH","11900",2008,364,288,73,3,0,0,0,115,67,39,0,15,323,26,0
"Athens, TN","11940",2008,349,347,2,0,0,0,0,57,31,20,0,305,0,0,44
"Athens-Clarke County, GA","12020",2008,362,192,158,12,0,0,0,140,80,48,0,0,141,221,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2008,366,85,228,39,13,1,0,203,112,61,0,8,130,228,0
"Atlantic City-Hammonton, NJ","12100",2008,361,251,104,6,0,0,0,119,71,42,0,0,217,138,6
"Augusta-Richmond County, GA-SC","12260",2008,366,160,187,18,1,0,0,159,87,54,0,0,176,190,0
"Augusta-Waterville, ME","12300",2008,211,193,17,1,0,0,0,101,49,34,0,0,181,0,30
"Austin-Round Rock, TX","12420",2008,366,241,111,14,0,0,0,126,74,45,0,1,205,160,0
"Bakersfield, CA","12540",2008,366,34,137,107,74,14,0,217,172,107,0,1,204,147,14
"Baltimore-Columbia-Towson, MD","12580",2008,366,151,173,30,12,0,0,192,105,54,0,20,148,198,0
"Bangor, ME","12620",2008,363,344,16,3,0,0,0,105,46,33,0,0,344,15,4
