"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2003,121,100,21,0,0,0,0,71,56,33,0,0,0,97,24
"Aberdeen, WA","10140",2003,365,318,47,0,0,0,0,81,52,29,0,0,0,360,5
"Adrian, MI","10300",2003,180,118,46,11,4,1,0,206,100,46,0,0,180,0,0
"Aguadilla-Isabela, PR","10380",2003,95,94,1,0,0,0,0,69,38,21,0,0,0,95,0
"Akron, OH","10420",2003,365,124,213,24,2,2,0,219,90,56,0,0,97,265,3
"Albany, GA","10500",2003,121,58,63,0,0,0,0,97,70,52,0,0,0,118,3
"Albany, OR","10540",2003,111,90,21,0,0,0,0,91,64,26,0,0,0,111,0
"Albany-Schenectady-Troy, NY","10580",2003,365,264,84,13,4,0,0,187,76,40,1,0,316,48,0
"Albuquerque, NM","10740",2003,365,100,208,52,5,0,0,168,108,67,0,13,211,40,101
"Alexandria, LA","10780",2003,362,292,63,6,1,0,0,151,65,38,0,0,323,39,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2003,365,149,186,26,2,2,0,203,97,55,0,21,92,236,16
"Altoona, PA","11020",2003,365,307,48,7,3,0,0,197,61,35,0,150,191,0,24
"Amarillo, TX","11100",2003,136,125,11,0,0,0,0,70,47,25,0,0,0,136,0
"Americus, GA","11140",2003,210,159,45,5,1,0,0,151,77,39,0,0,210,0,0
"Ames, IA","11180",2003,214,200,14,0,0,0,0,100,48,34,0,0,214,0,0
"Anchorage, AK","11260",2003,310,267,38,3,1,0,1,486,57,24,125,0,0,72,113
"Ann Arbor, MI","11460",2003,358,253,83,17,4,1,0,201,87,39,0,0,281,77,0
"Appleton, WI","11540",2003,243,186,48,9,0,0,0,150,74,42,0,0,163,80,0
"Ardmore, OK","11620",2003,277,152,103,22,0,0,0,150,93,49,0,0,217,60,0
"Arkadelphia, AR","11660",2003,282,242,37,3,0,0,0,126,58,35,0,0,282,0,0
"Asheville, NC","11700",2003,304,120,154,30,0,0,0,147,100,58,0,0,161,143,0
"Ashtabula, OH","11780",2003,214,145,50,14,3,2,0,204,97,44,0,0,214,0,0
"Athens, OH","11900",2003,109,65,43,1,0,0,0,110,73,42,0,0,0,107,2
"Athens, TN","11940",2003,320,268,50,2,0,0,0,119,58,24,0,214,0,92,14
"Athens-Clarke County, GA","12020",2003,249,137,105,7,0,0,0,150,79,47,0,0,152,97,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2003,365,74,234,46,9,2,0,203,120,61,0,14,113,237,1
"Atlantic City-Hammonton, NJ","12100",2003,365,278,66,18,1,2,0,205,75,38,0,0,311,54,0
"Augusta-Richmond County, GA-SC","12260",2003,365,221,132,12,0,0,0,140,77,44,0,2,215,148,0
"Augusta-Waterville, ME","12300",2003,287,267,18,1,1,0,0,151,47,35,0,0,268,0,19
"Austin-Round Rock, TX","12420",2003,365,234,111,17,3,0,0,177,84,44,0,9,281,71,4
"Bakersfield, CA","12540",2003,365,23,118,100,93,31,0,223,197,118,0,0,206,157,2
"Baltimore-Columbia-Towson, MD","12580",2003,365,101,213,42,7,2,0,226,115,61,1,24,100,239,1
"Bangor, ME","12620",2003,354,310,39,4,0,1,0,205,54,37,0,0,320,33,1
"Baraboo, WI","12660",2003,357,280,65,12,0,0,0,126,67,36,0,7,328,22,0
"Barnstable Town, MA","12700",2003,231,165,42,16,7,1,0,205,101,42,0,0,167,64,0
"Baton Rouge, LA","12940",2003,365,131,187,27,16,4,0,215,112,57,0,18,158,189,0
"Bay City, MI","13020",2003,113,75,38,0,0,0,0,97,68,38,0,0,0,113,0
"Beaumont-Port Arthur, TX","13140",2003,365,177,145,35,7,1,0,209,108,51,0,8,178,179,0
"Beaver Dam, WI","13180",2003,365,233,111,21,0,0,0,150,84,44,0,0,238,127,0
"Beckley, WV","13220",2003,116,67,48,1,0,0,0,113,71,45,0,0,0,116,0
"Bellingham, WA","13380",2003,364,324,40,0,0,0,0,77,52,31,0,0,125,237,2
"Bend-Redmond, OR","13460",2003,225,209,16,0,0,0,0,86,40,18,136,0,0,88,1
"Bennington, VT","13540",2003,354,303,45,6,0,0,0,140,56,34,0,0,313,41,0
"Berlin, NH-VT","13620",2003,245,168,63,14,0,0,0,129,80,45,0,0,175,70,0
"Billings, MT","13740",2003,365,345,20,0,0,0,0,100,43,16,279,0,0,80,6
"Binghamton, NY","13780",2003,28,19,9,0,0,0,0,65,63,40,0,0,0,28,0
"Birmingham-Hoover, AL","13820",2003,365,34,281,48,2,0,0,177,107,69,0,0,49,240,76
"Bishop, CA","13860",2003,365,179,120,42,5,1,18,16515,132,51,0,0,294,3,68
"Bismarck, ND","13900",2003,365,342,23,0,0,0,0,90,48,33,0,13,306,44,2
"Blackfoot, ID","13940",2003,50,38,12,0,0,0,0,90,63,29,0,0,0,0,50
"Blacksburg-Christiansburg-Radford, VA","13980",2003,357,261,85,10,1,0,0,169,74,41,0,0,357,0,0
"Bloomington, IL","14010",2003,362,287,66,9,0,0,0,126,74,36,0,0,330,32,0
"Bloomington, IN","14020",2003,183,93,63,23,4,0,0,179,108,49,0,0,183,0,0
"Bluefield, WV-VA","14140",2003,112,66,43,3,0,0,0,115,71,42,0,0,0,112,0
"Blytheville, AR","14180",2003,111,65,46,0,0,0,0,88,66,45,0,0,0,111,0
"Boise City, ID","14260",2003,365,253,104,8,0,0,0,143,74,43,74,0,181,45,65
"Boone, NC","14380",2003,114,70,43,1,0,0,0,117,66,43,0,0,0,114,0
"Boston-Cambridge-Newton, MA-NH","14460",2003,365,96,241,22,5,1,0,204,93,59,0,46,73,246,0
"Boulder, CO","14500",2003,365,255,87,22,1,0,0,151,90,42,24,0,302,38,1
"Bowling Green, KY","14540",2003,365,227,123,14,1,0,0,161,87,44,0,35,250,80,0
"Bozeman, MT","14580",2003,358,341,17,0,0,0,0,94,32,8,202,0,0,96,60
"Brainerd, MN","14660",2003,55,51,4,0,0,0,0,71,45,24,0,0,0,55,0
"Branson, MO","14700",2003,121,87,34,0,0,0,0,95,58,34,0,0,0,121,0
"Breckenridge, CO","14720",2003,332,321,11,0,0,0,0,64,28,13,0,0,0,0,332
"Bremerton-Silverdale, WA","14740",2003,21,16,5,0,0,0,0,74,60,40,0,0,0,21,0
"Bridgeport-Stamford-Norwalk, CT","14860",2003,365,247,86,22,7,3,0,221,94,44,4,143,150,67,1
"Brookings, SD","15100",2003,125,90,35,0,0,0,0,85,63,35,0,0,0,76,49
"Brownsville, TN","15140",2003,304,202,89,12,1,0,0,166,80,44,27,32,245,0,0
