"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",1992,56,56,0,0,0,0,0,47,35,24,0,0,0,0,56
"Akron, OH","10420",1992,366,307,40,12,7,0,0,192,67,31,50,0,245,0,71
"Albany, OR","10540",1992,4,4,0,0,0,0,0,46,46,43,0,0,0,0,4
"Albany-Schenectady-Troy, NY","10580",1992,366,313,38,10,5,0,0,187,60,34,27,11,319,0,9
"Albuquerque, NM","10740",1992,366,204,155,7,0,0,0,119,80,49,66,60,223,0,17
"Alexandria, LA","10780",1992,351,339,12,0,0,0,0,84,44,31,0,0,338,0,13
"Allentown-Bethlehem-Easton, PA-NJ","10900",1992,366,293,52,19,2,0,0,182,71,39,17,184,162,0,3
"Alma, MI","10940",1992,365,365,0,0,0,0,0,36,7,5,365,0,0,0,0
"Altoona, PA","11020",1992,363,315,39,7,2,0,0,159,61,34,2,145,215,0,1
"Amarillo, TX","11100",1992,54,53,1,0,0,0,0,58,28,16,0,0,0,0,54
"Americus, GA","11140",1992,338,252,71,13,2,0,0,166,80,38,0,0,338,0,0
"Anchorage, AK","11260",1992,364,175,172,13,2,0,2,461,87,52,143,0,0,0,221
"Ann Arbor, MI","11460",1992,364,304,43,11,6,0,0,200,67,33,0,0,358,0,6
"Anniston-Oxford-Jacksonville, AL","11500",1992,60,60,0,0,0,0,0,43,35,22,0,0,0,0,60
"Appleton, WI","11540",1992,183,156,22,5,0,0,0,140,67,34,0,0,183,0,0
"Ardmore, OK","11620",1992,55,53,2,0,0,0,0,63,41,24,0,0,0,0,55
"Arkadelphia, AR","11660",1992,357,307,47,3,0,0,0,122,58,38,0,0,357,0,0
"Asheville, NC","11700",1992,236,212,23,1,0,0,0,101,51,37,0,0,203,0,33
"Ashtabula, OH","11780",1992,205,141,37,23,4,0,0,190,108,42,0,0,205,0,0
"Athens, OH","11900",1992,57,56,1,0,0,0,0,52,31,19,0,0,0,0,57
"Athens, TN","11940",1992,325,316,9,0,0,0,0,67,41,23,0,283,0,0,42
"Atlanta-Sandy Springs-Roswell, GA","12060",1992,366,199,103,41,20,3,0,215,129,48,4,149,212,0,1
"Atlantic City-Hammonton, NJ","12100",1992,366,267,75,16,6,2,0,208,87,37,84,0,230,50,2
"Augusta-Richmond County, GA-SC","12260",1992,366,292,58,16,0,0,0,150,71,37,0,4,358,0,4
"Augusta-Waterville, ME","12300",1992,293,257,22,11,3,0,0,192,61,34,0,0,222,0,71
"Austin-Round Rock, TX","12420",1992,365,289,55,20,1,0,0,161,80,38,22,74,263,0,6
"Bakersfield, CA","12540",1992,366,118,93,61,88,6,0,210,174,84,2,80,268,0,16
"Baltimore-Columbia-Towson, MD","12580",1992,366,188,126,33,18,1,0,206,122,50,45,169,149,0,3
"Bangor, ME","12620",1992,273,247,23,2,1,0,0,156,47,31,0,0,174,0,99
"Barnstable Town, MA","12700",1992,213,157,37,13,4,2,0,205,100,41,0,0,213,0,0
"Barre, VT","12740",1992,51,48,3,0,0,0,0,54,43,19,0,0,0,0,51
"Baton Rouge, LA","12940",1992,366,204,103,48,8,3,0,220,119,48,3,79,273,0,11
"Battle Creek, MI","12980",1992,60,58,2,0,0,0,0,56,40,24,0,0,0,0,60
"Bay City, MI","13020",1992,250,212,36,0,1,0,1,387,57,24,0,0,0,0,250
"Beaumont-Port Arthur, TX","13140",1992,365,248,64,41,10,2,0,205,119,43,4,45,311,0,5
"Beaver Dam, WI","13180",1992,180,137,29,12,2,0,0,172,90,39,0,0,180,0,0
"Bellefontaine, OH","13340",1992,213,142,49,16,5,1,0,214,101,45,0,0,213,0,0
"Bellingham, WA","13380",1992,212,207,5,0,0,0,0,74,43,34,0,0,179,0,33
"Bend-Redmond, OR","13460",1992,218,160,58,0,0,0,0,93,59,42,135,0,0,0,83
"Bennington, VT","13540",1992,249,206,31,11,1,0,0,156,67,39,0,0,194,55,0
"Berlin, NH-VT","13620",1992,281,236,40,4,1,0,0,159,54,36,0,0,87,0,194
"Billings, MT","13740",1992,354,336,18,0,0,0,0,71,41,23,315,0,0,0,39
"Binghamton, NY","13780",1992,61,61,0,0,0,0,0,44,36,19,0,0,0,0,61
"Birmingham-Hoover, AL","13820",1992,366,222,109,24,11,0,0,197,100,44,94,0,197,0,75
"Bishop, CA","13860",1992,363,296,60,3,1,2,1,422,67,42,28,0,320,0,15
"Bismarck, ND","13900",1992,318,306,12,0,0,0,0,100,45,26,0,126,159,0,33
"Blacksburg-Christiansburg-Radford, VA","13980",1992,361,252,97,11,1,0,0,156,80,42,0,0,361,0,0
"Blytheville, AR","14180",1992,123,123,0,0,0,0,0,7,6,3,123,0,0,0,0
"Boise City, ID","14260",1992,366,265,101,0,0,0,0,93,63,40,326,0,0,0,40
