"group","CBSA","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.PM2.5","Days.PM10","index_nsa","GSPC.Close","Gross.domestic.product..constant.prices","Gross.domestic.product.per.capita..constant.prices","Gross.domestic.product.per.capita..current.prices","Gross.domestic.product.based.on.purchasing.power.parity..PPP..share.of.world.total","Inflation..average.consumer.prices","Volume.of.imports.of.goods.and.services","Volume.of.exports.of.goods.and.services","Unemployment.rate","Current.account.balance","lat_numeric","lon_numeric","Year"
1,"Akron, OH",365.333333333333,278.833333333333,50.3333333333333,24.1666666666667,11.5,0.5,0,190,99.8333333333333,33.5,72.5,0,225.5,0,67.3333333333333,105.577708333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,41.0814447,-81.5190053,1996
1,"Albany, GA",10,10,0,0,0,0,0,25,25,16,0,0,0,0,10,107.0475,686.050003051758,3.772,40946,29946.97,19.73,2.937,8.697,8.178,5.408,-1.546,31.5785074,-84.155741,1996
1,"Albany-Schenectady-Troy, NY",365.333333333333,304.5,42.8333333333333,13.8333333333333,4,0.166666666666667,0,182.666666666667,70.3333333333333,35.3333333333333,19.8333333333333,57.1666666666667,281.666666666667,0,6.66666666666667,101.248125,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,42.7636479,-73.6536209,1996
1,"Albuquerque, NM",365.333333333333,156.833333333333,194.5,13.6666666666667,0.333333333333333,0,0,135.833333333333,84.8333333333333,54,49.1666666666667,70.8333333333333,212.333333333333,0,33,106.848958333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,35.0843859,-106.650422,1996
1,"Alexandria, LA",242,209,28,4.5,0.5,0,0,103.333333333333,53.8333333333333,29.6666666666667,0,0,214.5,0,27.5,95.8229166666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,31.3112936,-92.4451371,1996
1,"Allentown-Bethlehem-Easton, PA-NJ",365.333333333333,255.833333333333,73.1666666666667,28.1666666666667,7,1.16666666666667,0,198.833333333333,98.1666666666667,42.6666666666667,7.33333333333333,200.5,154.833333333333,0,2.66666666666667,101.164375,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,40.6510611,-75.4438853,1996
1,"Altoona, PA",364.5,287.5,57.25,15,4.75,0,0,180,78.75,35.75,3.5,153.75,197.75,0,9.5,96.315,539.349996566772,3.30925,39620.6125,28164.165,19.778,2.827,9.31725,7.639,6.002,-1.48475,40.5186809,-78.3947359,1996
1,"Amarillo, TX",57.3333333333333,56,1,0.333333333333333,0,0,0,66,31,17,0,0,0,0,57.3333333333333,92.0479166666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,35.2219971,-101.8312969,1996
1,"Anchorage, AK",361,217.666666666667,134.666666666667,8,0.333333333333333,0,0.333333333333333,185,78,43.5,144.166666666667,0,0,0,216.833333333333,97.9925,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,61.2175758,-149.8996785,1996
1,"Ann Arbor, MI",329.166666666667,262.166666666667,47,14.5,5.5,0,0,183.666666666667,80.8333333333333,35.3333333333333,0,0,327.333333333333,0,1.83333333333333,96.9829166666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,42.2808256,-83.7430378,1996
1,"Appleton, WI",180,154.5,19.6666666666667,5.33333333333333,0.5,0,0,133.333333333333,66.1666666666667,35.5,0,0,180,0,0,94.2375,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,44.2619309,-88.4153847,1996
1,"Asheville, NC",308.5,233.666666666667,61.8333333333333,11.5,1.5,0,0,135.5,71.6666666666667,39,0,0,202.166666666667,7.66666666666667,98.6666666666667,95.76625,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,35.5950581,-82.5514869,1996
1,"Atlantic City-Hammonton, NJ",364.666666666667,256.5,71,24.6666666666667,10.8333333333333,1.66666666666667,0,194.833333333333,100.833333333333,39.3333333333333,67,0,247.666666666667,43.3333333333333,6.66666666666667,104.570833333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,39.6365056,-74.8023853,1996
1,"Augusta-Richmond County, GA-SC",364.833333333333,264.166666666667,73.6666666666667,23.5,3.5,0,0,170,89,39.3333333333333,0,10.1666666666667,351.666666666667,0,3,101.455416666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,33.3623499,-82.0407137,1996
1,"Bakersfield, CA",365.333333333333,102.5,106.333333333333,57.1666666666667,71.5,27.6666666666667,0.166666666666667,258.333333333333,192,83.8333333333333,5.16666666666667,74.8333333333333,261,0,24.3333333333333,100.449791666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,35.3732921,-119.0187125,1996
1,"Baltimore-Columbia-Towson, MD",365,189.333333333333,99.8333333333333,41,26.6666666666667,8.16666666666667,0,224.666666666667,145.666666666667,49.5,30.6666666666667,153.166666666667,174,0,7.16666666666667,102.52125,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,39.372594,-76.6412712,1996
1,"Bangor, ME",319.833333333333,287,27.6666666666667,4.33333333333333,0.833333333333333,0,0,149.166666666667,50.3333333333333,32.1666666666667,0,0,254.166666666667,0,65.6666666666667,103.48,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,44.8016128,-68.7712257,1996
1,"Barnstable Town, MA",206.833333333333,148.333333333333,37,13.8333333333333,5.5,2.16666666666667,0,202.833333333333,105.666666666667,42.1666666666667,0,0,206.833333333333,0,0,102.1475,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,41.7003208,-70.3002024,1996
1,"Baton Rouge, LA",365.333333333333,220.666666666667,90.8333333333333,35.6666666666667,15,3.16666666666667,0,212,119.333333333333,45.3333333333333,4.16666666666667,100.666666666667,253.333333333333,0,7.16666666666667,106.115833333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,30.4514677,-91.1871466,1996
1,"Battle Creek, MI",59.6666666666667,56.8333333333333,2.83333333333333,0,0,0,0,60,41.1666666666667,20.5,0,0,0,0,59.6666666666667,96.645,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,42.3211522,-85.1797142,1996
1,"Bay City, MI",118,103.666666666667,13.6666666666667,0,0.333333333333333,0,0.333333333333333,180.666666666667,48.3333333333333,22,0,0,0,0,118,84.5558333333333,420.354166666667,2.05533333333333,37654.28,25353.3,20.0866666666667,3.40933333333333,5.16933333333333,5.60233333333333,7.08333333333333,-0.660666666666667,43.5944677,-83.8888647,1996
1,"Beaumont-Port Arthur, TX",365.166666666667,264,60.1666666666667,26.1666666666667,13.1666666666667,1.66666666666667,0,198,106.666666666667,39.5,2.33333333333333,45.1666666666667,314.833333333333,0,2.83333333333333,99.1029166666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,29.878116,-93.9405549,1996
1,"Bellingham, WA",234,227,6.83333333333333,0.166666666666667,0,0,0,92.8333333333333,43,31.5,0,0,201.833333333333,3,29.1666666666667,94.7595833333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,48.7519112,-122.4786854,1996
1,"Billings, MT",363.333333333333,341.666666666667,21.6666666666667,0,0,0,0,77.3333333333333,42.6666666666667,23,335.166666666667,0,0,0,28.1666666666667,92.3070833333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,45.7832856,-108.5006904,1996
1,"Binghamton, NY",57.6666666666667,57,0.666666666666667,0,0,0,0,48.8333333333333,32.8333333333333,17.6666666666667,0,0,0,0,57.6666666666667,108.38,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,42.0986867,-75.9179738,1996
1,"Birmingham-Hoover, AL",365.333333333333,227,102,23.5,10.8333333333333,2,0,199.333333333333,105.666666666667,44.8333333333333,73.5,6.83333333333333,212,0,73,105.346041666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,33.4415956,-86.7818523,1996
1,"Bismarck, ND",344,333.333333333333,10.6666666666667,0,0,0,0,71.1666666666667,45.3333333333333,30.3333333333333,0,74,252.666666666667,0,17.3333333333333,94.5216666666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,46.8041643,-100.7877616,1996
1,"Boise City, ID",343.666666666667,279.666666666667,63.6666666666667,0.333333333333333,0,0,0,92.5,57.6666666666667,34.3333333333333,257.333333333333,19.6666666666667,0,0,66.6666666666667,108.985,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,43.6150186,-116.2023137,1996
1,"Boulder, CO",365.333333333333,274.666666666667,81.8333333333333,8.5,0.333333333333333,0,0,145.5,70.8333333333333,41.3333333333333,93.5,0,250.333333333333,0,21.5,89.1370833333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,40.0149856,-105.2705456,1996
1,"Bowling Green, KY",349.166666666667,250.333333333333,86,11.3333333333333,1.5,0,0,151.666666666667,79.1666666666667,40.5,0,0,288.5,55.1666666666667,5.5,90.9266666666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,36.9685219,-86.4808043,1996
1,"Bridgeport-Stamford-Norwalk, CT",365.333333333333,247.333333333333,81.1666666666667,20.1666666666667,11.5,5.16666666666667,0,218,97.5,43.1666666666667,55.8333333333333,159.166666666667,143.166666666667,0,7.16666666666667,101.26875,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,41.211842,-73.2057595,1996
1,"Brownsville-Harlingen, TX",221.166666666667,209.166666666667,10.6666666666667,1.33333333333333,0,0,0,91.5,42.6666666666667,23.6666666666667,37,0,142.666666666667,0,41.5,97.4483333333333,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,26.1906306,-97.6961026,1996
1,"Brunswick, GA",217.666666666667,185.666666666667,26,6,0,0,0,130.333333333333,59.3333333333333,36.3333333333333,0,0,214.666666666667,0,3,98.2675,554.611663818359,3.326,39535.6866666667,28003.7933333333,19.6766666666667,2.928,7.90433333333333,8.45966666666667,6.164,-1.275,31.1510919,-81.4878157,1996
1,"Burlington, NC",46.25,45.5,0.75,0,0,0,0,46,31.75,19.5,0,0,0,0,46.25,98.17625,539.349996566772,3.30925,39620.6125,28164.165,19.778,2.827,9.31725,7.639,6.002,-1.48475,36.0959472,-79.4372016,1996
1,"Burlington-South Burlington, VT",365.166666666667,313.666666666667,43.5,6.83333333333333,1.16666666666667,0,0,148.166666666667,59.3333333333333,34.3333333333333,23.6666666666667,151.833333333333,179,6,4.66666666666667,100.232916666667,493.594580332438,2.77516666666667,38861.285,27058.7283333333,19.9426666666667,3.09433333333333,7.35516666666667,7.34916666666667,6.39166666666667,-1.114,44.4707506,-73.1516317,1996
